Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	spot_19
Operator	Cody
Date	8/16/2017
Time	14:08
Sign	FIX
Grating Spacing	08.50um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:09:49
	
Time	Amplitude
0.000000E+0	-4.350880E-4
5.000000E-11	-3.802738E-4
1.000000E-10	-2.980524E-4
1.500000E-10	-1.987016E-4
2.000000E-10	-5.138835E-5
2.500000E-10	1.267579E-4
3.000000E-10	2.980524E-4
3.500000E-10	4.487916E-4
4.000000E-10	5.584201E-4
4.500000E-10	6.063825E-4
5.000000E-10	6.200861E-4
5.500000E-10	6.029567E-4
6.000000E-10	5.515683E-4
6.500000E-10	4.864764E-4
7.000000E-10	4.076809E-4
7.500000E-10	3.083301E-4
8.000000E-10	2.124052E-4
8.500000E-10	1.336097E-4
9.000000E-10	6.509191E-5
9.500000E-10	1.370356E-5
1.000000E-9	-2.740712E-5
1.050000E-9	-6.509191E-5
1.100000E-9	-8.564725E-5
1.150000E-9	-6.166602E-5
1.200000E-9	-4.796246E-5
1.250000E-9	-5.481424E-5
1.300000E-9	-4.111068E-5
1.350000E-9	1.027767E-5
1.400000E-9	6.851780E-5
1.450000E-9	1.096285E-4
1.500000E-9	1.610168E-4
1.550000E-9	2.500900E-4
1.600000E-9	3.391631E-4
1.650000E-9	3.905515E-4
1.700000E-9	4.282363E-4
1.750000E-9	4.624952E-4
1.800000E-9	4.761987E-4
1.850000E-9	4.556434E-4
1.900000E-9	4.179586E-4
1.950000E-9	3.631444E-4
2.000000E-9	2.912007E-4
2.050000E-9	1.815722E-4
2.100000E-9	5.824013E-5
2.150000E-9	-6.509191E-5
2.200000E-9	-1.610168E-4
2.250000E-9	-2.329605E-4
2.300000E-9	-2.946265E-4
2.350000E-9	-3.357372E-4
2.400000E-9	-3.254596E-4
2.450000E-9	-2.740712E-4
2.500000E-9	-2.124052E-4
2.550000E-9	-1.438874E-4
2.600000E-9	-5.824013E-5
2.650000E-9	3.083301E-5
2.700000E-9	1.233320E-4
2.750000E-9	1.952757E-4
2.800000E-9	2.329605E-4
2.850000E-9	2.295346E-4
2.900000E-9	2.021275E-4
2.950000E-9	1.404615E-4
3.000000E-9	7.194369E-5
3.050000E-9	3.083301E-5
3.100000E-9	-3.425890E-5
3.150000E-9	-1.267579E-4
3.200000E-9	-1.747204E-4
3.250000E-9	-1.815722E-4
3.300000E-9	-1.884240E-4
3.350000E-9	-1.747204E-4
3.400000E-9	-1.096285E-4
3.450000E-9	-2.055534E-5
3.500000E-9	6.509191E-5
3.550000E-9	1.644427E-4
3.600000E-9	2.500900E-4
3.650000E-9	3.220337E-4
3.700000E-9	3.871256E-4
3.750000E-9	4.350880E-4
3.800000E-9	4.316622E-4
3.850000E-9	4.111068E-4
3.900000E-9	3.974033E-4
3.950000E-9	3.631444E-4
4.000000E-9	3.014783E-4
4.050000E-9	2.432382E-4
4.100000E-9	1.815722E-4
4.150000E-9	1.233320E-4
4.200000E-9	7.879547E-5
4.250000E-9	4.111068E-5
4.300000E-9	1.027767E-5
4.350000E-9	2.055534E-5
4.400000E-9	5.138835E-5
4.450000E-9	5.824013E-5
4.500000E-9	7.536958E-5
4.550000E-9	1.336097E-4
4.600000E-9	2.021275E-4
4.650000E-9	2.603676E-4
4.700000E-9	2.980524E-4
4.750000E-9	3.254596E-4
4.800000E-9	3.631444E-4
4.850000E-9	3.768479E-4
4.900000E-9	3.494408E-4
4.950000E-9	3.220337E-4
5.000000E-9	3.049042E-4
5.050000E-9	2.706453E-4
5.100000E-9	2.329605E-4
5.150000E-9	1.952757E-4
5.200000E-9	1.712945E-4
5.250000E-9	1.541651E-4
5.300000E-9	1.267579E-4
5.350000E-9	1.096285E-4
5.400000E-9	1.404615E-4
5.450000E-9	1.575909E-4
5.500000E-9	1.301838E-4
5.550000E-9	1.130544E-4
5.600000E-9	1.027767E-4
5.650000E-9	3.083301E-5
5.700000E-9	-5.481424E-5
5.750000E-9	-1.096285E-4
5.800000E-9	-1.815722E-4
5.850000E-9	-2.706453E-4
5.900000E-9	-3.220337E-4
5.950000E-9	-3.597185E-4
6.000000E-9	-3.939774E-4
6.050000E-9	-3.836997E-4
6.100000E-9	-3.186078E-4
6.150000E-9	-2.500900E-4
6.200000E-9	-1.678686E-4
6.250000E-9	-7.536958E-5
6.300000E-9	1.370356E-5
6.350000E-9	1.027767E-4
6.400000E-9	2.158311E-4
6.450000E-9	3.083301E-4
6.500000E-9	3.631444E-4
6.550000E-9	4.076809E-4
6.600000E-9	4.419398E-4
6.650000E-9	4.487916E-4
6.700000E-9	4.350880E-4
6.750000E-9	4.179586E-4
6.800000E-9	3.734220E-4
6.850000E-9	3.254596E-4
6.900000E-9	2.946265E-4
6.950000E-9	2.432382E-4
7.000000E-9	1.575909E-4
7.050000E-9	1.027767E-4
7.100000E-9	7.879547E-5
7.150000E-9	4.796246E-5
7.200000E-9	1.370356E-5
7.250000E-9	1.712945E-5
7.300000E-9	5.138835E-5
7.350000E-9	6.851780E-5
7.400000E-9	6.851780E-5
7.450000E-9	9.249903E-5
7.500000E-9	1.199062E-4
7.550000E-9	1.233320E-4
7.600000E-9	1.199062E-4
7.650000E-9	1.233320E-4
7.700000E-9	1.062026E-4
7.750000E-9	7.879547E-5
7.800000E-9	9.935081E-5
7.850000E-9	1.987016E-4
7.900000E-9	4.076809E-4
7.950000E-9	7.639735E-4
