Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	spot03
Operator	Cody
Date	8/8/2017
Time	15:34
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:36:33
	
Time	Amplitude
0.000000E+0	-4.830505E-4
5.000000E-11	-4.967541E-4
1.000000E-10	-5.104576E-4
1.500000E-10	-5.310130E-4
2.000000E-10	-5.378647E-4
2.500000E-10	-5.344389E-4
3.000000E-10	-5.310130E-4
3.500000E-10	-5.036058E-4
4.000000E-10	-4.522175E-4
4.500000E-10	-4.042550E-4
5.000000E-10	-3.528667E-4
5.500000E-10	-2.843489E-4
6.000000E-10	-2.432382E-4
6.500000E-10	-2.398123E-4
7.000000E-10	-2.192570E-4
7.500000E-10	-2.158311E-4
8.000000E-10	-2.535159E-4
8.500000E-10	-2.980524E-4
9.000000E-10	-3.460149E-4
9.500000E-10	-4.076809E-4
1.000000E-9	-4.487916E-4
1.050000E-9	-4.659211E-4
1.100000E-9	-4.933282E-4
1.150000E-9	-5.207353E-4
1.200000E-9	-5.036058E-4
1.250000E-9	-4.556434E-4
1.300000E-9	-4.042550E-4
1.350000E-9	-3.528667E-4
1.400000E-9	-2.946265E-4
1.450000E-9	-2.329605E-4
1.500000E-9	-1.815722E-4
1.550000E-9	-1.644427E-4
1.600000E-9	-1.644427E-4
1.650000E-9	-1.610168E-4
1.700000E-9	-1.815722E-4
1.750000E-9	-2.295346E-4
1.800000E-9	-2.569418E-4
1.850000E-9	-2.774971E-4
1.900000E-9	-3.186078E-4
1.950000E-9	-3.460149E-4
2.000000E-9	-3.494408E-4
2.050000E-9	-3.665702E-4
2.100000E-9	-3.939774E-4
2.150000E-9	-3.836997E-4
2.200000E-9	-3.631444E-4
2.250000E-9	-3.631444E-4
2.300000E-9	-3.528667E-4
2.350000E-9	-3.220337E-4
2.400000E-9	-3.049042E-4
2.450000E-9	-3.083301E-4
2.500000E-9	-3.049042E-4
2.550000E-9	-3.220337E-4
2.600000E-9	-3.665702E-4
2.650000E-9	-4.076809E-4
2.700000E-9	-4.419398E-4
2.750000E-9	-4.933282E-4
2.800000E-9	-5.378647E-4
2.850000E-9	-5.755495E-4
2.900000E-9	-6.098084E-4
2.950000E-9	-6.372156E-4
3.000000E-9	-6.509191E-4
3.050000E-9	-6.509191E-4
3.100000E-9	-6.269379E-4
3.150000E-9	-5.789754E-4
3.200000E-9	-5.378647E-4
3.250000E-9	-5.036058E-4
3.300000E-9	-4.693469E-4
3.350000E-9	-4.350880E-4
3.400000E-9	-4.111068E-4
3.450000E-9	-3.939774E-4
3.500000E-9	-3.802738E-4
3.550000E-9	-3.836997E-4
3.600000E-9	-4.008291E-4
3.650000E-9	-4.248104E-4
3.700000E-9	-4.556434E-4
3.750000E-9	-4.796246E-4
3.800000E-9	-4.933282E-4
3.850000E-9	-5.001800E-4
3.900000E-9	-4.933282E-4
3.950000E-9	-4.727728E-4
4.000000E-9	-4.453657E-4
4.050000E-9	-4.248104E-4
4.100000E-9	-3.939774E-4
4.150000E-9	-3.528667E-4
4.200000E-9	-3.391631E-4
4.250000E-9	-3.562926E-4
4.300000E-9	-3.665702E-4
4.350000E-9	-3.836997E-4
4.400000E-9	-4.350880E-4
4.450000E-9	-5.036058E-4
4.500000E-9	-5.686978E-4
4.550000E-9	-6.166602E-4
4.600000E-9	-6.611968E-4
4.650000E-9	-6.988816E-4
4.700000E-9	-7.057334E-4
4.750000E-9	-6.817521E-4
4.800000E-9	-6.577709E-4
4.850000E-9	-6.166602E-4
4.900000E-9	-5.618460E-4
4.950000E-9	-5.104576E-4
5.000000E-9	-4.693469E-4
5.050000E-9	-4.316622E-4
5.100000E-9	-4.111068E-4
5.150000E-9	-3.974033E-4
5.200000E-9	-3.974033E-4
5.250000E-9	-4.111068E-4
5.300000E-9	-4.316622E-4
5.350000E-9	-4.385139E-4
5.400000E-9	-4.248104E-4
5.450000E-9	-4.145327E-4
5.500000E-9	-4.076809E-4
5.550000E-9	-3.939774E-4
5.600000E-9	-3.768479E-4
5.650000E-9	-3.734220E-4
5.700000E-9	-3.802738E-4
5.750000E-9	-3.974033E-4
5.800000E-9	-4.316622E-4
5.850000E-9	-4.659211E-4
5.900000E-9	-5.001800E-4
5.950000E-9	-5.549942E-4
6.000000E-9	-5.926790E-4
6.050000E-9	-5.892531E-4
6.100000E-9	-5.755495E-4
6.150000E-9	-5.652719E-4
6.200000E-9	-5.378647E-4
6.250000E-9	-4.933282E-4
6.300000E-9	-4.282363E-4
6.350000E-9	-3.494408E-4
6.400000E-9	-2.912007E-4
6.450000E-9	-2.672194E-4
6.500000E-9	-2.432382E-4
6.550000E-9	-2.261087E-4
6.600000E-9	-2.466641E-4
6.650000E-9	-2.809230E-4
6.700000E-9	-3.186078E-4
6.750000E-9	-3.631444E-4
6.800000E-9	-4.213845E-4
6.850000E-9	-4.727728E-4
6.900000E-9	-5.070317E-4
6.950000E-9	-5.207353E-4
7.000000E-9	-5.070317E-4
7.050000E-9	-4.727728E-4
7.100000E-9	-4.213845E-4
7.150000E-9	-3.631444E-4
7.200000E-9	-2.843489E-4
7.250000E-9	-2.021275E-4
7.300000E-9	-1.336097E-4
7.350000E-9	-8.222136E-5
7.400000E-9	-6.509191E-5
7.450000E-9	-7.194369E-5
7.500000E-9	-1.062026E-4
7.550000E-9	-1.712945E-4
7.600000E-9	-2.363864E-4
7.650000E-9	-3.014783E-4
7.700000E-9	-3.768479E-4
7.750000E-9	-4.248104E-4
7.800000E-9	-4.248104E-4
